Unnamed: 0,celex
395,31974R0654
396,31974R0662
397,31974R0841
398,31974R1328
399,31974R1392
400,31974R1410
401,31974R1469
402,31974R1508
403,31974R1556
404,31974R1728
405,31974R1855
406,31974R1900
407,31974R2380
408,31974R2639
409,31974R2681
410,31974R2684
411,31974R2988
412,31974R3111
413,31974R3112
414,31974R3212
415,31974R3237
416,31974R3259
417,31974R3283
418,31974R3301
419,31974R3330
420,31975L0033
421,31975L0034
422,31975L0035
423,31975L0036
424,31975L0106
425,31975L0107
426,31975L0108
427,31975L0117
428,31975L0129
429,31975L0130
430,31975L0155
431,31975L0268
432,31975L0296
433,31975L0318
434,31975L0319
435,31975L0321
436,31975L0322
437,31975L0323
438,31975L0324
439,31975L0339
440,31975L0362
441,31975L0363
442,31975L0368
443,31975L0369
444,31975L0379
445,31975L0404
446,31975L0405
447,31975L0409
448,31975L0410
449,31975L0431
450,31975L0439
451,31975L0440
452,31975L0442
453,31975L0443
454,31975L0444
455,31975L0445
456,31975L0716
457,31975L0726
458,31975L0786
459,31975R0154
460,31975R0174
461,31975R0337
462,31975R0338
463,31975R0397
464,31975R0465
465,31975R0475
466,31975R0656
467,31975R0724
468,31975R0725
469,31975R0740
470,31975R0741
471,31975R0895
472,31975R0896
473,31975R0897
474,31975R0898
475,31975R0899
476,31975R0900
477,31975R0901
478,31975R1028
479,31975R1274
480,31975R1365
481,31975R1473
482,31975R1589
483,31975R1625
484,31975R1627
485,31975R1699
486,31975R1735
487,31975R1736
488,31975R1798
489,31975R1818
490,31975R1926
491,31975R2148
492,31975R2410
493,31975R2411
494,31975R2481
495,31975R2482
496,31975R2483
497,31975R2623
498,31975R2727
499,31975R2729
500,31975R2731
501,31975R2753
502,31975R2759
503,31975R2760
504,31975R2771
505,31975R2777
506,31975R2782
507,31975R2783
508,31975R3058
509,31975R3065
510,31975R3171
511,31975R3242
512,31975R3328
513,31975R3420
514,31975R3421
515,31975R3422
516,31975R3423
517,31975R3425
518,31975R3426
519,31976L0114
520,31976L0115
521,31976L0116
522,31976L0117
523,31976L0118
524,31976L0119
525,31976L0135
526,31976L0160
527,31976L0207
528,31976L0211
529,31976L0307
530,31976L0308
531,31976L0399
532,31976L0400
533,31976L0403
534,31976L0432
535,31976L0462
536,31976L0464
537,31976L0580
538,31976L0621
539,31976L0625
540,31976L0628
541,31976L0629
542,31976L0630
543,31976L0634
544,31976L0756
545,31976L0757
546,31976L0758
547,31976L0759
548,31976L0760
549,31976L0761
550,31976L0762
551,31976L0763
552,31976L0764
553,31976L0765
554,31976L0766
555,31976L0767
556,31976L0768
557,31976L0769
558,31976L0770
559,31976L0837
560,31976L0889
561,31976L0890
562,31976L0891
563,31976L0893
564,31976L0895
565,31976L0911
566,31976L0914
567,31976R0100
568,31976R0101
569,31976R0102
570,31976R0119
571,31976R0157
572,31976R0199
573,31976R0312
574,31976R0367
575,31976R0368
576,31976R0369
577,31976R0471
578,31976R0557
579,31976R0559
580,31976R0566
581,31976R0568
582,31976R0569
583,31976R0666
584,31976R0694
585,31976R0706
586,31976R0707
587,31976R0754
588,31976R0793
589,31976R0794
590,31976R0814
591,31976R0832
592,31976R0939
593,31976R1048
594,31976R1143
595,31976R1163
596,31976R1169
597,31976R1172
598,31976R1209
599,31976R1298
600,31976R1384
601,31976R1416
602,31976R1417
603,31976R1418
604,31976R1487
605,31976R1493
606,31976R1503
607,31976R1505
608,31976R1508
609,31976R1512
610,31976R1513
611,31976R1514
612,31976R1516
613,31976R1518
614,31976R1519
615,31976R1520
616,31976R1521
617,31976R1526
618,31976R1554
619,31976R1795
620,31976R1976
621,31976R1990
622,31976R2017
623,31976R2300
624,31976R2340
625,31976R2427
626,31976R2428
627,31976R2562
628,31976R2563
629,31976R2566
630,31976R2670
631,31976R2686
632,31976R2762
633,31976R2785
634,31976R3138
635,31976R3141
636,31976R3164
637,31977L0062
638,31977L0082
639,31977L0091
